sno	Collected_Protein_name	Uniprot_Name	Uniprot_ID	Approved_Symbol	Gene_Identifier	Approved_Protein_Name	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
526	SERPINB2	PAI2_HUMAN	P05120	SERPINB2	HGNC:8584	Plasminogen activator inhibitor 2	Human	Protein	30808882	Homo sapiens	Hker E6SFM			Hker E6SFM keratinocyte cells		Cell	UV radiation-General		800	in vitro	No irradiation	8	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
527	TNF‐α	TNFA_HUMAN	P01375	TNF	HGNC:11892	tumor necrosis factor	Human	Protein	30809971	Homo sapiens	Japanese	Both		Normal human epidermal keratinocytes (NHEK)		Cell	UVB-radiation		150	in vitro	No irradiation	24	Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
528	IL‐1β	IL1B_HUMAN	P01584	IL1B	HGNC:5992	Interleukin-1 beta	Human	Protein	30809971	Homo sapiens	Japanese	Both		Normal human epidermal keratinocytes (NHEK)		Cell	UVB-radiation		150	in vitro	No irradiation	24	Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
529	KGF	FGF7_RAT	Q02195	Fgf7	RGD:61805	Fibroblast growth factor 7	Rat	Protein	30816491	Rattus norvegicus	Wistar	Male	0.12	Corneal epithelial tissues	Eye	Tissue	UV radiation-General		9000	in vivo	No irradiation		Proteomics	Western blot	Up	cornea	UBERON_0000964	Uberon Ontology	
530	HGF	HGF_RAT	P17945	Hgf	RGD:2794	Hepatocyte growth factor	Rat	Protein	30816491	Rattus norvegicus	Wistar	Male	0.12	Corneal epithelial tissues	Eye	Tissue	UV radiation-General		9000	in vivo	No irradiation		Proteomics	Western blot	Up	cornea	UBERON_0000964	Uberon Ontology	
531	VEGF	VEGFA_RAT	P16612	Vegfa	RGD:619991	Vascular endothelial growth factor A	Rat	Protein	30816491	Rattus norvegicus	Wistar	Male	0.12	Corneal epithelial tissues	Eye	Tissue	UV radiation-General		9000	in vivo	No irradiation		Proteomics	Western blot	Up	cornea	UBERON_0000964	Uberon Ontology	
532	Flk‑1	VGFR2_RAT	O08775	Kdr	RGD:2965	Vascular endothelial growth factor receptor 2	Rat	Protein	30816491	Rattus norvegicus	Wistar	Male	0.12	Corneal epithelial tissues	Eye	Tissue	UV radiation-General		9000	in vivo	No irradiation		Proteomics	Western blot	Up	cornea	UBERON_0000964	Uberon Ontology	
533	AQP3	AQP3_HUMAN	Q92482	AQP3	HGNC:636	Aquaporin-3	Human	Protein	30820155	Homo sapiens				HaCaT		Cell	UVA-radiation		30000	in vitro	No irradiation	24	Proteomics	Western blot	Down	keratinocyte	CL_0000312	Cell Ontology	
534	IL-6	IL6_HUMAN	P05231	IL6	HGNC:6018	Interleukin-6	Human	Protein	30918802	Homo sapiens				Primary human conjunctival epithelial cells	Corneal tissue	Tissue	UVB-radiation		300	in vitro	No irradiation		Proteomics	ELISA	Up	bulbar conjunctiva	UBERON_0010306	Uberon Ontology	
535	MCP-1	CCL2_HUMAN	P13500	CCL2	HGNC:10618	C-C motif chemokine 2	Human	Protein	30918802	Homo sapiens				Primary human conjunctival epithelial cells	Corneal tissue	Tissue	UVB-radiation		300	in vitro	No irradiation		Proteomics	ELISA	Up	bulbar conjunctiva	UBERON_0010306	Uberon Ontology	
536	IL-8	IL8_HUMAN	P10145	CXCL8	HGNC:6025	Interleukin-8	Human	Protein	30918802	Homo sapiens				Primary human conjunctival epithelial cells	Corneal tissue	Tissue	UVB-radiation		300	in vitro	No irradiation		Proteomics	ELISA	Up	bulbar conjunctiva	UBERON_0010306	Uberon Ontology	
537	p21	CDN1A_HUMAN	P38936	CDKN1A	HGNC:1784	Cyclin-dependent kinase inhibitor 1	Human	Protein	30933875	Homo sapiens				human epidermal keratinocytes (HEKs)	Skin	Cell	UVB-radiation		500	in vitro	No irradiation		Proteomics	Western blot	Down	keratinocyte	CL_0000312	Cell Ontology	
538	Bax	BAX_HUMAN	Q07812	BAX	HGNC:959	Apoptosis regulator BAX	Human	Protein	30934595	Homo sapiens				HaCaT		Cell	UVB-radiation		300	in vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
539	Bcl-2	BCL2_HUMAN	P10415	BCL2	HGNC:990	Apoptosis regulator Bcl-2	Human	Protein	30934595	Homo sapiens				HaCaT		Cell	UVB-radiation		300	in vitro	No irradiation		Proteomics	Western blot	Down	keratinocyte	CL_0000312	Cell Ontology	
540	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	30934595	Homo sapiens				HaCaT		Cell	UVB-radiation		300	in vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
541	MMP-2	MMP2_HUMAN	P08253	MMP2	HGNC:7166	72 kDa type IV collagenase	Human	Protein	30934595	Homo sapiens				HaCaT		Cell	UVB-radiation		300	in vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
542	MMP-9	MMP9_HUMAN	P14780	MMP9	HGNC:7176	Matrix metalloproteinase-9	Human	Protein	30934595	Homo sapiens				HaCaT		Cell	UVB-radiation		300	in vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
543	MMP-2	MMP2_MOUSE	P33434	Mmp2	MGI:97009	72 kDa type IV collagenase	Mouse	Protein	30949655	Mus musculus	HR-1	Male			Dorsal skin	Tissue	UVB-radiation		108000	in vivo	No irradiation		Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
544	MMP-3	MMP3_MOUSE	P28862	Mmp3	MGI:97010	Stromelysin-1	Mouse	Protein	30949655	Mus musculus	HR-1	Male			Dorsal skin	Tissue	UVB-radiation		108000	in vivo	No irradiation		Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
545	MMP-9	MMP9_MOUSE	P41245	Mmp9	MGI:97011	Matrix metalloproteinase-9	Mouse	Protein	30949655	Mus musculus	HR-1	Male			Dorsal skin	Tissue	UVB-radiation		108000	in vivo	No irradiation		Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
546	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	30981089	Homo sapiens				Normal human dermal fibroblast (NHDFs)		Cell	UVA-radiation		80000	in vitro	No irradiation	72	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
547	MMP-2	MMP2_HUMAN	P08253	MMP2	HGNC:7166	72 kDa type IV collagenase	Human	Protein	30981089	Homo sapiens				Normal human dermal fibroblast (NHDFs)		Cell	UVA-radiation		80000	in vitro	No irradiation	72	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
548	MMP-3	MMP3_HUMAN	P08254	MMP3	HGNC:7173	Stromelysin-1	Human	Protein	30981089	Homo sapiens				Normal human dermal fibroblast (NHDFs)		Cell	UVA-radiation		80000	in vitro	No irradiation	72	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
549	c-Fos	FOS_HUMAN	P01100	FOS	HGNC:3796	Protein c-Fos	Human	Protein	30981089	Homo sapiens				Normal human dermal fibroblast (NHDFs)		Cell	UVA-radiation		80000	in vitro	No irradiation	6	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
550	Endo180	MRC2_HUMAN	Q9UBG0	MRC2	HGNC:16875	C-type mannose receptor 2	Human	Protein	30981089	Homo sapiens				Normal human dermal fibroblast (NHDFs)		Cell	UVA-radiation		80000	in vitro	No irradiation	72	Proteomics	Western blot	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
551	MMP-2	MMP2_MOUSE	P33434	Mmp2	MGI:97009	72 kDa type IV collagenase	Mouse	Protein	30999820	Mus musculus	HRM-2	Female	0.13		Dorsal skin	Tissue	UVB-radiation		9000	in vivo	No irradiation		Proteomics	ELISA	Up	skin of back	UBERON_0001068	Uberon Ontology	
552	IL-1α	IL1A_MOUSE	P01582	Il1a	MGI:96542	Interleukin-1 alpha	Mouse	Protein	31009737	Mus musculus	BALB/c	Male			Skin	Tissue	(UVA+UVB)-radiation		38000	in vivo	No irradiation		Proteomics	ELISA	Up	skin of body	UBERON_0002097	Uberon Ontology	
553	IL-6	IL6_MOUSE	P08505	Il6	MGI:96559	Interleukin-6	Mouse	Protein	31009737	Mus musculus	BALB/c	Male			Skin	Tissue	(UVA+UVB)-radiation		38000	in vivo	No irradiation		Proteomics	ELISA	Up	skin of body	UBERON_0002097	Uberon Ontology	
554	TNF-α	TNFA_MOUSE	P06804	Tnf	MGI:104798	Tumor necrosis factor	Mouse	Protein	31009737	Mus musculus	BALB/c	Male			Skin	Tissue	(UVA+UVB)-radiation		38000	in vivo	No irradiation		Proteomics	ELISA	Up	skin of body	UBERON_0002097	Uberon Ontology	
555	MMP-3	MMP3_MOUSE	P28862	Mmp3	MGI:97010	Stromelysin-1	Mouse	Protein	31009737	Mus musculus	BALB/c	Male			Skin	Tissue	(UVA+UVB)-radiation		38000	in vivo	No irradiation		Proteomics	ELISA	Up	skin of body	UBERON_0002097	Uberon Ontology	
556	MMP-9	MMP9_MOUSE	P41245	Mmp9	MGI:97011	Matrix metalloproteinase-9	Mouse	Protein	31009737	Mus musculus	BALB/c	Male			Skin	Tissue	(UVA+UVB)-radiation		38000	in vivo	No irradiation		Proteomics	ELISA	Up	skin of body	UBERON_0002097	Uberon Ontology	
557	UNC5b	UNC5B_MOUSE	Q8K1S3	Unc5b	MGI:894703	Netrin receptor UNC5B	Mouse	Protein	31012327	Mus musculus	C57BL/6	Female	0.15	Epidermal stem cell (ESC)	Skin	Cell	UVB-radiation		250	in vitro	No irradiation		Proteomics	Western blot	Up	stem cell of epidermis	CL_1000428	Cell Ontology	
558	UNC5b	UNC5B_MOUSE	Q8K1S3	Unc5b	MGI:894703	Netrin receptor UNC5B	Mouse	Protein	31012327	Mus musculus	C57BL/6	Female	0.15	Epidermal stem cell (ESC)	Skin	Cell	UVB-radiation		500	in vitro	No irradiation		Proteomics	Western blot	Up	stem cell of epidermis	CL_1000428	Cell Ontology	
559	UNC5b	UNC5B_MOUSE	Q8K1S3	Unc5b	MGI:894703	Netrin receptor UNC5B	Mouse	Protein	31012327	Mus musculus	C57BL/6	Female	0.15	Epidermal stem cell (ESC)	Skin	Cell	UVB-radiation		750	in vitro	No irradiation		Proteomics	Western blot	Up	stem cell of epidermis	CL_1000428	Cell Ontology	
560	NAD(P)H oxidase homolog (NOX-4)	NOX4_MOUSE	Q9JHI8	Nox4	MGI:1354184	NADPH oxidase 4	Mouse	Protein	31012327	Mus musculus	C57BL/6	Female	0.15	Epidermal stem cell (ESC)	Skin	Cell	UVB-radiation		500	in vitro	No irradiation		Proteomics	Western blot	Up	stem cell of epidermis	CL_1000428	Cell Ontology	
561	Wnt1	WNT1_MOUSE	P04426	Wnt1	MGI:98953	Proto-oncogene Wnt-1	Mouse	Protein	31012327	Mus musculus	C57BL/6	Female	0.15	Epidermal stem cell (ESC)	Skin	Cell	UVB-radiation		500	in vitro	No irradiation		Proteomics	Western blot	Down	stem cell of epidermis	CL_1000428	Cell Ontology	
562	Myc	MYC_MOUSE	P01108	Myc	MGI:97250	Myc proto-oncogene protein	Mouse	Protein	31012327	Mus musculus	C57BL/6	Female	0.15	Epidermal stem cell (ESC)	Skin	Cell	UVB-radiation		500	in vitro	No irradiation		Proteomics	Western blot	Down	stem cell of epidermis	CL_1000428	Cell Ontology	
563	Cyclin D1	CCND1_MOUSE	P25322	Ccnd1	MGI:88313	G1/S-specific cyclin-D1	Mouse	Protein	31012327	Mus musculus	C57BL/6	Female	0.15	Epidermal stem cell (ESC)	Skin	Cell	UVB-radiation		500	in vitro	No irradiation		Proteomics	Western blot	Down	stem cell of epidermis	CL_1000428	Cell Ontology	
564	MMP‑1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	31017257	Homo sapiens				HaCaT cells		Cell	UVB-radiation		200	in vitro	No irradiation		Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
565	MMP‑2	MMP2_HUMAN	P08253	MMP2	HGNC:7166	72 kDa type IV collagenase	Human	Protein	31017257	Homo sapiens				HaCaT cells		Cell	UVB-radiation		200	in vitro	No irradiation		Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
566	MMP‑9	MMP9_HUMAN	P14780	MMP9	HGNC:7176	Matrix metalloproteinase-9	Human	Protein	31017257	Homo sapiens				HaCaT cells		Cell	UVB-radiation		200	in vitro	No irradiation		Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
567	IL-8	IL8_HUMAN	P10145	CXCL8	HGNC:6025	Interleukin-8	Human	Protein	31021014	Homo sapiens				Epidermal explants	Skin	Tissue	UVB-radiation		500	in vitro	No irradiation	24	Proteomics	ELISA	Up	skin of body	UBERON_0002097	Uberon Ontology	
568	IL-6	IL6_HUMAN	P05231	IL6	HGNC:6018	Interleukin-6	Human	Protein	31021014	Homo sapiens				Reconstructed human epidermis (RHE)		Tissue	UVB-radiation		500	in vitro	No irradiation	24	Proteomics	ELISA	Up	skin of body	UBERON_0002097	Uberon Ontology	
569	IL-8	IL8_HUMAN	P10145	CXCL8	HGNC:6025	Interleukin-8	Human	Protein	31021014	Homo sapiens				Reconstructed human epidermis (RHE)		Tissue	UVB-radiation		500	in vitro	No irradiation	24	Proteomics	ELISA	Up	skin of body	UBERON_0002097	Uberon Ontology	
570	IL-1 β	IL1B_HUMAN	P01584	IL1B	HGNC:5992	Interleukin-1 beta	Human	Protein	31067277	Homo sapiens				HaCaT		Cell	UVB-radiation		200	in vitro	No irradiation		Proteomics		Up	keratinocyte	CL_0000312	Cell Ontology	
571	IL-6	IL6_HUMAN	P05231	IL6	HGNC:6018	Interleukin-6	Human	Protein	31067277	Homo sapiens				HaCaT		Cell	UVB-radiation		200	in vitro	No irradiation		Proteomics		Up	keratinocyte	CL_0000312	Cell Ontology	
572	Endothelin‐1	EDN1_HUMAN	P05305	EDN1	HGNC:3176	Endothelin-1	Human	Protein	31074159	Homo sapiens		Female		HaCaT cells		Cell	UVA-radiation		100000	in vitro	No irradiation	48	Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
573	PAR‐2	PAR2_HUMAN	P55085	F2RL1	HGNC:3538	Proteinase-activated receptor 2	Human	Protein	31074159	Homo sapiens		Female		HaCaT cells		Cell	UVA-radiation		100000	in vitro	No irradiation	48	Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
574	TNF‑ α	TNFA_HUMAN	P01375	TNF	HGNC:11892	tumor necrosis factor	Human	Protein	31115540	Homo sapiens				HaCaT cells		Cell	UVB-radiation		150	in vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
575	COX‑2	COX2_HUMAN	P00403	MT-CO2	HGNC:7421	Cytochrome c oxidase subunit 2	Human	Protein	31115540	Homo sapiens				HaCaT cells		Cell	UVB-radiation		150	in vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
576	IL‑6	IL6_HUMAN	P05231	IL6	HGNC:6018	Interleukin-6	Human	Protein	31115540	Homo sapiens				HaCaT cells		Cell	UVB-radiation		150	in vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
577	IL‑1β	IL1B_HUMAN	P01584	IL1B	HGNC:5992	Interleukin-1 beta	Human	Protein	31115540	Homo sapiens				HaCaT cells		Cell	UVB-radiation		150	in vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
578	SOD‑1	SODC_HUMAN	P00441	SOD1	HGNC:11179	Superoxide dismutase [Cu-Zn]	Human	Protein	31115540	Homo sapiens				HaCaT cells		Cell	UVB-radiation		150	in vitro	No irradiation		Proteomics	Western blot	Down	keratinocyte	CL_0000312	Cell Ontology	
579	HO‑1	HMOX1_HUMAN	P09601	HMOX1	HGNC:5013	Heme oxygenase 1	Human	Protein	31115540	Homo sapiens				HaCaT cells		Cell	UVB-radiation		150	in vitro	No irradiation		Proteomics	Western blot	Down	keratinocyte	CL_0000312	Cell Ontology	
580	Nrf2	NF2L2_HUMAN	Q16236	NFE2L2	HGNC:7782	Nuclear factor erythroid 2-related factor 2	Human	Protein	31115540	Homo sapiens				HaCaT cells		Cell	UVB-radiation		150	in vitro	No irradiation		Proteomics	Western blot	Down	keratinocyte	CL_0000312	Cell Ontology	
581	Atg5	ATG5_HUMAN	Q9H1Y0	ATG5	HGNC:589	Autophagy protein 5	Human	Protein	31166622	Homo sapiens				human dermal fibroblast (HDF)		Cell	UVA-radiation		40000	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
582	Atg5	ATG5_HUMAN	Q9H1Y0	ATG5	HGNC:589	Autophagy protein 5	Human	Protein	31166622	Homo sapiens				human dermal fibroblast (HDF)		Cell	UVA-radiation		120000	in vitro	No irradiation		Proteomics	Western blot	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
583	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	31234539	Homo sapiens				Human dermal fibroblast (HDF)		Cell	UV radiation-General			in vitro	No irradiation	48	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
584	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	31234539	Homo sapiens				Human foreskin fibroblast (Hs68)		Cell	UV radiation-General			in vitro	No irradiation	48	Proteomics	ELISA	Up	foreskin fibroblast	CL_1001608	Cell Ontology	
585	STAT1	STAT1_MOUSE	P42225	Stat1	MGI:103063	Signal transducer and activator of transcription 1	Mouse	Protein	31237385	Mus musculus	FVB/N				Dorsal skin	Tissue	(UVA+UVB)-radiation		1196000	in vivo	No irradiation	3	Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
586	STAT1	STAT1_MOUSE	P42225	Stat1	MGI:103063	Signal transducer and activator of transcription 1	Mouse	Protein	31237385	Mus musculus	FVB/N				Dorsal skin	Tissue	(UVA+UVB)-radiation		1196000	in vivo	No irradiation	6	Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
587	STAT1	STAT1_MOUSE	P42225	Stat1	MGI:103063	Signal transducer and activator of transcription 1	Mouse	Protein	31237385	Mus musculus	FVB/N				Dorsal skin	Tissue	(UVA+UVB)-radiation		1196000	in vivo	No irradiation	24	Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
588	IRF-1	IRF1_MOUSE	P15314	Irf1	MGI:96590	Interferon regulatory factor 1	Mouse	Protein	31237385	Mus musculus	FVB/N				Dorsal skin	Tissue	(UVA+UVB)-radiation		1196000	in vivo	No irradiation	6	Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
589	Cox‐2	COX2_MOUSE	P00405	Mtco2	MGI:102503	Cytochrome c oxidase subunit 2	Mouse	Protein	31237385	Mus musculus	FVB/N				Dorsal skin	Tissue	(UVA+UVB)-radiation		1196000	in vivo	No irradiation	6	Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
590	Cox‐2	COX2_MOUSE	P00405	Mtco2	MGI:102503	Cytochrome c oxidase subunit 2	Mouse	Protein	31237385	Mus musculus	FVB/N				Dorsal skin	Tissue	(UVA+UVB)-radiation		1196000	in vivo	No irradiation	24	Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
591	MMP-9	MMP9_HUMAN	P14780	MMP9	HGNC:7176	Matrix metalloproteinase-9	Human	Protein	31270288	Homo sapiens				human epidermal keratinocytes (HEKs)		Cell	UVB-radiation		200	in vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
592	TNF-α	TNFA_HUMAN	P01375	TNF	HGNC:11892	tumor necrosis factor	Human	Protein	31270288	Homo sapiens				human epidermal keratinocytes (HEKs)		Cell	UVB-radiation		200	in vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
593	PCNA	PCNA_HUMAN	P12004	PCNA	HGNC:8729	Proliferating cell nuclear antigen	Human	Protein	31270288	Homo sapiens				human epidermal keratinocytes (HEKs)		Cell	UVB-radiation		200	in vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
594	SMC1	SMC1A_HUMAN	Q14683	SMC1A	HGNC:11111	Structural maintece of chromosomes protein 1A	Human	Protein	31270288	Homo sapiens				human epidermal keratinocytes (HEKs)		Cell	UVB-radiation		200	in vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
595	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	31353662	Homo sapiens				HaCaT cells		Cell	UVB-radiation		300	in vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
596	BAX	BAX_HUMAN	Q07812	BAX	HGNC:959	Apoptosis regulator BAX	Human	Protein	31353662	Homo sapiens				HaCaT cells		Cell	UVB-radiation		300	in vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
597	caspase‐3	CASP3_HUMAN	P42574	CASP3	HGNC:1504	Caspase-3	Human	Protein	31353662	Homo sapiens				HaCaT cells		Cell	UVB-radiation		300	in vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
598	BCL‐2	BCL2_HUMAN	P10415	BCL2	HGNC:990	Apoptosis regulator Bcl-2	Human	Protein	31353662	Homo sapiens				HaCaT cells		Cell	UVB-radiation		300	in vitro	No irradiation	24	Proteomics	Western blot	Down	keratinocyte	CL_0000312	Cell Ontology	
599	p53	P53_MOUSE	P02340	Tp53	MGI:98834	Cellular tumor antigen p53	Mouse	Protein	31353662	Mus musculus	BALB/c	Female			Dorsal skin	Tissue	UVB-radiation		73000	in vivo	No irradiation		Proteomics	Immunohistochemistry	Up	skin of back	UBERON_0001068	Uberon Ontology	
600	BAX	BAX_MOUSE	Q07813	Bax	MGI:99702	Apoptosis regulator BAX	Mouse	Protein	31353662	Mus musculus	BALB/c	Female			Dorsal skin	Tissue	UVB-radiation		73000	in vivo	No irradiation		Proteomics	Immunohistochemistry	Up	skin of back	UBERON_0001068	Uberon Ontology	
601	caspase‐3	CASP3_MOUSE	P70677	Casp3	MGI:107739	Caspase-3	Mouse	Protein	31353662	Mus musculus	BALB/c	Female			Dorsal skin	Tissue	UVB-radiation		73000	in vivo	No irradiation		Proteomics	Immunohistochemistry	Up	skin of back	UBERON_0001068	Uberon Ontology	
602	caspase‐9	CASP9_MOUSE	Q8C3Q9	Casp9	MGI:1277950	Caspase-9	Mouse	Protein	31353662	Mus musculus	BALB/c	Female			Dorsal skin	Tissue	UVB-radiation		73000	in vivo	No irradiation		Proteomics	Immunohistochemistry	Up	skin of back	UBERON_0001068	Uberon Ontology	
603	BCL‐2	BCL2_MOUSE	P10417	Bcl2	MGI:88138	Apoptosis regulator Bcl-2	Mouse	Protein	31353662	Mus musculus	BALB/c	Female			Dorsal skin	Tissue	UVB-radiation		73000	in vivo	No irradiation		Proteomics	Immunohistochemistry	Down	skin of back	UBERON_0001068	Uberon Ontology	
604	p53	P53_MOUSE	P02340	Tp53	MGI:98834	Cellular tumor antigen p53	Mouse	Protein	31353662	Mus musculus	BALB/c	Female			Dorsal skin	Tissue	UVB-radiation		73000	in vivo	No irradiation		Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
605	BAX	BAX_MOUSE	Q07813	Bax	MGI:99702	Apoptosis regulator BAX	Mouse	Protein	31353662	Mus musculus	BALB/c	Female			Dorsal skin	Tissue	UVB-radiation		73000	in vivo	No irradiation		Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
606	caspase‐3	CASP3_MOUSE	P70677	Casp3	MGI:107739	Caspase-3	Mouse	Protein	31353662	Mus musculus	BALB/c	Female			Dorsal skin	Tissue	UVB-radiation		73000	in vivo	No irradiation		Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
607	caspase‐9	CASP9_MOUSE	Q8C3Q9	Casp9	MGI:1277950	Caspase-9	Mouse	Protein	31353662	Mus musculus	BALB/c	Female			Dorsal skin	Tissue	UVB-radiation		73000	in vivo	No irradiation		Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
608	BCL‐2	BCL2_MOUSE	P10417	Bcl2	MGI:88138	Apoptosis regulator Bcl-2	Mouse	Protein	31353662	Mus musculus	BALB/c	Female			Dorsal skin	Tissue	UVB-radiation		73000	in vivo	No irradiation		Proteomics	Western blot	Down	skin of back	UBERON_0001068	Uberon Ontology	
609	opsin (OPN)3	OPN3_HUMAN	Q9H1Y3	OPN3	HGNC:14007	Opsin-3	Human	Protein	31380578	Homo sapiens				Normal human dermal fibroblasts (NHDFs)	Skin	Cell	UVA-radiation		100000	in vitro	No irradiation	48	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
610	OPN3	OPN3_HUMAN	Q9H1Y3	OPN3	HGNC:14007	Opsin-3	Human	Protein	31380578	Homo sapiens				Normal human dermal fibroblasts (NHDFs)	Skin	Cell	UVA-radiation		100000	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
611	OPN3	OPN3_HUMAN	Q9H1Y3	OPN3	HGNC:14007	Opsin-3	Human	Protein	31380578	Homo sapiens				Normal human dermal fibroblasts (NHDFs)	Skin	Cell	UVA-radiation		1400000	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
612	MMP1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	31380578	Homo sapiens				Normal human dermal fibroblasts (NHDFs)	Skin	Cell	UVA-radiation		100000	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
613	MMP1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	31380578	Homo sapiens				Normal human dermal fibroblasts (NHDFs)	Skin	Cell	UVA-radiation		1400000	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
614	MMP3	MMP3_HUMAN	P08254	MMP3	HGNC:7173	Stromelysin-1	Human	Protein	31380578	Homo sapiens				Normal human dermal fibroblasts (NHDFs)	Skin	Cell	UVA-radiation		100000	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
615	MMP3	MMP3_HUMAN	P08254	MMP3	HGNC:7173	Stromelysin-1	Human	Protein	31380578	Homo sapiens				Normal human dermal fibroblasts (NHDFs)	Skin	Cell	UVA-radiation		1400000	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
616	MMP2	MMP2_HUMAN	P08253	MMP2	HGNC:7166	72 kDa type IV collagenase	Human	Protein	31380578	Homo sapiens				Normal human dermal fibroblasts (NHDFs)	Skin	Cell	UVA-radiation		100000	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
