sno	Collected_Gene_name	Approved_Symbol	Gene_Identifier	Approved_Name	Ensembl_Gene_ID	NCBI_Gene_ID	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
1215	PTTG1	PTTG1	HGNC:9690	PTTG1 regulator of sister chromatid separation, securin	ENSG00000164611	9232	Human	Gene	27378355	Homo sapiens	Healthy			Primary cultures of skin fibroblasts	Primary cultures of skin fibroblasts	Cell	UVC-radiation	0.1	5	In vitro	No irradiation	12	Genomics	qRT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
1216	PTTG1	PTTG1	HGNC:9690	PTTG1 regulator of sister chromatid separation, securin	ENSG00000164611	9232	Human	Gene	27378355	Homo sapiens	Healthy			Primary cultures of skin fibroblasts	Primary cultures of skin fibroblasts	Cell	UVC-radiation	0.1	0.5	In vitro	No irradiation	12	Genomics	qRT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
1217	rablla	RAB11A	HGNC:9760	RAB11A, member RAS oncogene family	ENSG00000103769	8766	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
1218	KIF20A	KIF20A	HGNC:9787	kinesin family member 20A	ENSG00000112984	10112	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	keratinocyte	CL_0000312	Cell Ontology	
1219	KIF20A	KIF20A	HGNC:9787	kinesin family member 20A	ENSG00000112984	10112	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	melanocyte	CL_0000148	Cell Ontology	
1220	p21-rac1	RAC1	HGNC:9801	Rac family small GTPase 1	ENSG00000136238	5879	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	6	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
1221	XP-C repair complementing protein (p58/HHR23B)	RAD23B	HGNC:9813	RAD23 homolog B, nucleotide excision repair protein	ENSG00000119318	5887	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
1222	RAI3	GPRC5A	HGNC:9836	G protein-coupled receptor class C group 5 member A	ENSG00000013588	9052	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		10	In vitro	No irradiation	12	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
1223	RAR-a	RARA	HGNC:9864	retinoic acid receptor alpha	ENSG00000131759	5914	Human	Gene	14705796	Homo sapiens	Healthy Caucasian		1-15	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		500	In vitro	No irradiation	2	Genomics	qRT-PCR	Up	keratinocyte	CL_0000312	Cell Ontology	
1224	RAR-a	RARA	HGNC:9864	retinoic acid receptor alpha	ENSG00000131759	5914	Human	Gene	14705796	Homo sapiens	Healthy Caucasian		1-15	Human melanocytes	Human melanocytes	Cell	UVB-radiation		500	In vitro	No irradiation	2	Genomics	qRT-PCR	Up	melanocyte	CL_0000148	Cell Ontology	
1225	NR1B2	RARB	HGNC:9865	retinoic acid receptor beta	ENSG00000077092	5915	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1226	RAR-gamma 1	RARG	HGNC:9866	retinoic acid receptor gamma	ENSG00000172819	5916	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	24	Genomics	Northern blot	Down	keratinocyte	CL_0000312	Cell Ontology	
1227	RAR-gamma 1	RARG	HGNC:9866	retinoic acid receptor gamma	ENSG00000172819	5916	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	6	Genomics	Northern blot	Down	keratinocyte	CL_0000312	Cell Ontology	
1228	RAR-g	RARG	HGNC:9866	retinoic acid receptor gamma	ENSG00000172819	5916	Human	Gene	14705796	Homo sapiens	Healthy Caucasian		1-15	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		500	In vitro	No irradiation	8	Genomics	qRT-PCR	Up	keratinocyte	CL_0000312	Cell Ontology	
1229	RAR-g	RARG	HGNC:9866	retinoic acid receptor gamma	ENSG00000172819	5916	Human	Gene	14705796	Homo sapiens	Healthy Caucasian		1-15	Human melanocytes	Human melanocytes	Cell	UVB-radiation		500	In vitro	No irradiation	2	Genomics	qRT-PCR	Up	melanocyte	CL_0000148	Cell Ontology	
1230	RASGRP1	RASGRP1	HGNC:9878	RAS guanyl releasing protein 1	ENSG00000172575	10125	Human	Gene	19707549	Homo sapiens				Monocyte-derived Dendritic cells	Monocyte-derived Dendritic cells	Cell	UV radiation-General		40000	In vitro	No irradiation	6	Genomics	Microarray	Down	monocyte-derived dendritic cell	CL_0011031	Cell Ontology	
1231	CtBP interacting protein (CtIP)	RBBP8	HGNC:9891	RB binding protein 8, endonuclease	ENSG00000101773	5932	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
1232	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	15714115	Homo sapiens				Co-culture of melanocytes and keratinocytes	Co-culture of melanocytes and keratinocytes	Cell	UVB-radiation	13.4	500	In vitro	No irradiation	24	Genomics	RT-PCR	Up	keratinocyte;melanocyte	CL_0000312;CL_0000148	Cell Ontology	
1233	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	15714115	Homo sapiens				Co-culture of melanocytes and keratinocytes	Co-culture of melanocytes and keratinocytes	Cell	UVB-radiation	9.6	500	In vitro	No irradiation	24	Genomics	RT-PCR	Up	keratinocyte;melanocyte	CL_0000312;CL_0000148	Cell Ontology	
1234	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	15714115	Homo sapiens				Co-culture of melanocytes and keratinocytes	Co-culture of melanocytes and keratinocytes	Cell	UVB-radiation	13.4	500	In vitro	No irradiation	8	Genomics	RT-PCR	Down	keratinocyte;melanocyte	CL_0000312;CL_0000148	Cell Ontology	
1235	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	25445170	Homo sapiens				Human lens epithelial cell lines (HLEC)	Human lens epithelial cell lines (HLEC)	Cell	UVB-radiation	1		In vitro	No irradiation	2	Genomics	qRT-PCR	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1236	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	25445170	Homo sapiens				Human lens epithelial cell lines (HLEC)	Human lens epithelial cell lines (HLEC)	Cell	UVB-radiation	1		In vitro	No irradiation	0.25	Genomics	qRT-PCR	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1237	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	25445170	Homo sapiens				Human lens epithelial cell lines (HLEC)	Human lens epithelial cell lines (HLEC)	Cell	UVB-radiation	2		In vitro	No irradiation	0.25	Genomics	qRT-PCR	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1238	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	25445170	Homo sapiens				Human lens epithelial cell lines (HLEC)	Human lens epithelial cell lines (HLEC)	Cell	UVB-radiation	1		In vitro	No irradiation	0.5	Genomics	qRT-PCR	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1239	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	25445170	Homo sapiens				Human lens epithelial cell lines (HLEC)	Human lens epithelial cell lines (HLEC)	Cell	UVB-radiation	2		In vitro	No irradiation	2	Genomics	qRT-PCR	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1240	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	25445170	Homo sapiens				Human lens epithelial cell lines (HLEC)	Human lens epithelial cell lines (HLEC)	Cell	UVB-radiation	1		In vitro	No irradiation	0.75	Genomics	qRT-PCR	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1241	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	25445170	Homo sapiens				Human lens epithelial cell lines (HLEC)	Human lens epithelial cell lines (HLEC)	Cell	UVB-radiation	2		In vitro	No irradiation	0.75	Genomics	qRT-PCR	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1242	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	25445170	Homo sapiens				Human lens epithelial cell lines (HLEC)	Human lens epithelial cell lines (HLEC)	Cell	UVB-radiation	1		In vitro	No irradiation	1	Genomics	qRT-PCR	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1243	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	25445170	Homo sapiens				Human lens epithelial cell lines (HLEC)	Human lens epithelial cell lines (HLEC)	Cell	UVB-radiation	2		In vitro	No irradiation	1	Genomics	qRT-PCR	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1244	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	25445170	Homo sapiens				Human lens epithelial cell lines (HLEC)	Human lens epithelial cell lines (HLEC)	Cell	UVB-radiation	1		In vitro	No irradiation	1.5	Genomics	qRT-PCR	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1245	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	25445170	Homo sapiens				Human lens epithelial cell lines (HLEC)	Human lens epithelial cell lines (HLEC)	Cell	UVB-radiation	2		In vitro	No irradiation	1.5	Genomics	qRT-PCR	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1246	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	25445170	Homo sapiens				Human lens epithelial cell lines (HLEC)	Human lens epithelial cell lines (HLEC)	Cell	UVB-radiation	2		In vitro	No irradiation	0.5	Genomics	qRT-PCR	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1247	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	18425358	Homo sapiens				Human skin fibroblasts	Human skin fibroblasts	Cell	UVB-radiation		100	In vitro	No irradiation	72	Genomics	RT-PCR	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
1248	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	15714115	Homo sapiens				Normal melanocyte culture	Normal melanocyte culture	Cell	UVB-radiation	9.6	500	In vitro	No irradiation	24	Genomics	RT-PCR	Up	melanocyte of skin	CL_1000458	Cell Ontology	
1249	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	15714115	Homo sapiens				Normal melanocyte culture	Normal melanocyte culture	Cell	UVB-radiation	13.4	500	In vitro	No irradiation	8	Genomics	RT-PCR	Down	melanocyte of skin	CL_1000458	Cell Ontology	
1250	Bcl-2	BCL2	HGNC:990	BCL2 apoptosis regulator	ENSG00000171791	596	Human	Gene	15714115	Homo sapiens				Normal melanocyte culture	Normal melanocyte culture	Cell	UVB-radiation	13.4	500	In vitro	No irradiation	24	Genomics	RT-PCR	Up	melanocyte of skin	CL_1000458	Cell Ontology	
1251	MSSP-1	RBMS1P1	HGNC:9908	RNA binding motif single stranded interacting protein 1 pseudogene 1	ENSG00000225422	5938	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1252	Bak-2 protein (Bcl-2 homolog)	BAK1P1	HGNC:996	BCL2 antagonist/killer 1 pseudogene 1	ENSG00000175730	600	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
1253	RFC4O	RFC2	HGNC:9970	replication factor C subunit 2	ENSG00000049541	5982	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	24	Genomics	Northern blot	Down	keratinocyte	CL_0000312	Cell Ontology	
1254	RFC4O	RFC2	HGNC:9970	replication factor C subunit 2	ENSG00000049541	5982	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	6	Genomics	Northern blot	Down	keratinocyte	CL_0000312	Cell Ontology	
1255	helix-loop-helix phosphoprotein	RGS2	HGNC:9998	regulator of G protein signaling 2	ENSG00000116741	5997	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
1256	RGS3	RGS3	HGNC:9999	regulator of G protein signaling 3	ENSG00000138835	5998	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
1257	Mitf	Mitf	MGI:104554	melanogenesis associated transcription factor	ENSMUSG00000035158	17342	Mouse	Gene	22391242	Mus musculus	C57BL/6			Hair follicle-derived neural crest stem cells	Hair follicle-derived neural crest stem cells	Cell	UVB-radiation	130	6000	In vitro	No irradiation		Genomics	RT-PCR	Up	hair follicle melanocyte	CL_0002483	Cell Ontology	
1258	Prpf39	Prpf39	MGI:104602	pre-mRNA processing factor 39	ENSMUSG00000035597	328110	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1259	Jarid2	Jarid2	MGI:104813	jumonji, AT rich interactive domain 2	ENSMUSG00000038518	16468	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1260	Phox2a	Phox2a	MGI:106633	paired-like homeobox 2a	ENSMUSG00000007946	11859	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1261	Usp39	Usp39	MGI:107622	ubiquitin specific peptidase 39	ENSMUSG00000056305	28035	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1262	Ppp1r14b	Ppp1r14b	MGI:107682	protein phosphatase 1, regulatory inhibitor subunit 14B	ENSMUSG00000056612	18938	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Down	retina	UBERON_0000966	Uberon Ontology	
1263	Zfp84	Zfp84	MGI:107780	zinc finger protein 84	ENSMUSG00000046185	74352	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1264	Ezh2	Ezh2	MGI:107940	enhancer of zeste 2 polycomb repressive complex 2 subunit	ENSMUSG00000029687	14056	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1265	Fzd4	Fzd4	MGI:108520	frizzled class receptor 4	ENSMUSG00000049791	14366	Mouse	Gene	22391242	Mus musculus	C57BL/6			Hair follicle-derived neural crest stem cells	Hair follicle-derived neural crest stem cells	Cell	UVB-radiation	130	6000	In vitro	No irradiation		Genomics	RT-PCR	Up	hair follicle melanocyte	CL_0002483	Cell Ontology	
1266	Wbp4	Wbp4	MGI:109568	WW domain binding protein 4	ENSMUSG00000022023	22380	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1267	Per1	Per1	MGI:1098283	period circadian clock 1	ENSMUSG00000020893	18626	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1268	Pkd2	Pkd2	MGI:1099818	polycystin 2, transient receptor potential cation channel	ENSMUSG00000034462	18764	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1269	Sumo1	Sumo1	MGI:1197010	small ubiquitin-like modifier 1	ENSMUSG00000026021	22218	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1270	Ucn I	Ucn	MGI:1276123	urocortin	ENSMUSG00000038676	22226	Mouse	Gene	23962689	Mus musculus	C57BL/6	Female	Neonate	Skin	Back skin	Tissue	UVB-radiation		500	In vivo	No irradiation	12	Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
1271	Ucn I	Ucn	MGI:1276123	urocortin	ENSMUSG00000038676	22226	Mouse	Gene	23962689	Mus musculus	C57BL/6	Female	Neonate	Skin	Back skin	Tissue	UVB-radiation		2000	In vivo	No irradiation	12	Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
1272	Ucn I	Ucn	MGI:1276123	urocortin	ENSMUSG00000038676	22226	Mouse	Gene	23962689	Mus musculus	C57BL/6	Female	Neonate	Skin	Back skin	Tissue	UVB-radiation		500	In vivo	No irradiation	24	Genomics	qPCR	Down	skin of body	UBERON_0002097	Uberon Ontology	
1273	Ucn I	Ucn	MGI:1276123	urocortin	ENSMUSG00000038676	22226	Mouse	Gene	23962689	Mus musculus	C57BL/6	Female	Neonate	Skin	Back skin	Tissue	UVB-radiation		2000	In vivo	No irradiation	24	Genomics	qPCR	Down	skin of body	UBERON_0002097	Uberon Ontology	
1274	Ucn I	Ucn	MGI:1276123	urocortin	ENSMUSG00000038676	22226	Mouse	Gene	23962689	Mus musculus	C57BL/6	Female	Neonate	Skin	Back skin	Tissue	UVB-radiation		500	In vivo	No irradiation	6	Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
1275	Ucn I	Ucn	MGI:1276123	urocortin	ENSMUSG00000038676	22226	Mouse	Gene	23962689	Mus musculus	C57BL/6	Female	Neonate	Skin	Back skin	Tissue	UVB-radiation		2000	In vivo	No irradiation	6	Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
1276	Ucn I	Ucn	MGI:1276123	urocortin	ENSMUSG00000038676	22226	Mouse	Gene	23962689	Mus musculus	DBA/2J	Female	Neonate	Skin	Back skin	Tissue	UVB-radiation		500	In vivo	No irradiation	12	Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
1277	Ucn I	Ucn	MGI:1276123	urocortin	ENSMUSG00000038676	22226	Mouse	Gene	23962689	Mus musculus	DBA/2J	Female	Neonate	Skin	Back skin	Tissue	UVB-radiation		2000	In vivo	No irradiation	12	Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
1278	Ucn I	Ucn	MGI:1276123	urocortin	ENSMUSG00000038676	22226	Mouse	Gene	23962689	Mus musculus	DBA/2J	Female	Neonate	Skin	Back skin	Tissue	UVB-radiation		500	In vivo	No irradiation	24	Genomics	qPCR	Down	skin of body	UBERON_0002097	Uberon Ontology	
1279	Ucn I	Ucn	MGI:1276123	urocortin	ENSMUSG00000038676	22226	Mouse	Gene	23962689	Mus musculus	DBA/2J	Female	Neonate	Skin	Back skin	Tissue	UVB-radiation		2000	In vivo	No irradiation	24	Genomics	qPCR	Down	skin of body	UBERON_0002097	Uberon Ontology	
1280	Ucn I	Ucn	MGI:1276123	urocortin	ENSMUSG00000038676	22226	Mouse	Gene	23962689	Mus musculus	DBA/2J	Female	Neonate	Skin	Back skin	Tissue	UVB-radiation		500	In vivo	No irradiation	6	Genomics	qPCR	Down	skin of body	UBERON_0002097	Uberon Ontology	
1281	Syngr1	Syngr1	MGI:1328323	Synaptogyrin 1	ENSMUSG00000022415	20972	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1282	Map7	Map7	MGI:1328328	microtubule-associated protein 7	ENSMUSG00000019996	17761	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Down	retina	UBERON_0000966	Uberon Ontology	
1283	Arid3a	Arid3a	MGI:1328360	AT rich interactive domain 3A (BRIGHT-like)	ENSMUSG00000019564	13496	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1284	Cdk9	Cdk9	MGI:1328368	cyclin-dependent kinase 9 (CDC2-related kinase)	ENSMUSG00000009555	107951	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1285	Rad17	Rad17	MGI:1333807	RAD17 checkpoint clamp loader component	ENSMUSG00000021635	19356	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Down	retina	UBERON_0000966	Uberon Ontology	
1286	Grm5	Grm5	MGI:1351342	glutamate receptor, metabotropic 5	ENSMUSG00000049583	108071	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1287	ALDH3A1	Aldh3a1	MGI:1353451	aldehyde dehydrogenase family 3, subfamily A1	ENSMUSG00000019102	11670	Mouse	Gene	12604188	Mus musculus	C57BL/6J/Ibg	Male	0.10-0.12	Lens	Eye of intact animal	Tissue	UV radiation-General		2000	In vivo	No irradiation	72	Genomics	Northern blot	Down	transparent eye structure	UBERON_0005389	Uberon Ontology	
1288	ALDH3A1	Aldh3a1	MGI:1353451	aldehyde dehydrogenase family 3, subfamily A1	ENSMUSG00000019102	11670	Mouse	Gene	12604188	Mus musculus	C57BL/6J/Ibg	Male	0.10-0.12	Lens	Eye of intact animal	Tissue	UV radiation-General		2000	In vivo	No irradiation	96	Genomics	Northern blot	Down	transparent eye structure	UBERON_0005389	Uberon Ontology	
1289	ALDH3A1	Aldh3a1	MGI:1353451	aldehyde dehydrogenase family 3, subfamily A1	ENSMUSG00000019102	11670	Mouse	Gene	12604188	Mus musculus	C57BL/6J/Ibg	Male	0.10-0.12	Lens	Eye of intact animal	Tissue	UV radiation-General		2000	In vivo	No irradiation	48	Genomics	Northern blot	Down	transparent eye structure	UBERON_0005389	Uberon Ontology	
1290	ALDH3A1	Aldh3a1	MGI:1353451	aldehyde dehydrogenase family 3, subfamily A1	ENSMUSG00000019102	11670	Mouse	Gene	12604188	Mus musculus	C57BL/6J/Ibg	Male	0.10-0.12	Lens	Eye of intact animal	Tissue	UV radiation-General		2000	In vivo	No irradiation	24	Genomics	Northern blot	Down	transparent eye structure	UBERON_0005389	Uberon Ontology	
1291	Sart3	Sart3	MGI:1858230	squamous cell carcinoma antigen recognized by T cells 3	ENSMUSG00000018974	53890	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1292	Celsr2	Celsr2	MGI:1858235	cadherin, EGF LAG seven-pass G-type receptor 2	ENSMUSG00000068740	53883	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1293	B4galt2	B4galt2	MGI:1858493	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2	ENSMUSG00000028541	53418	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
1294	Spast	Spast	MGI:1858896	spastin	ENSMUSG00000024068	50850	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Down	retina	UBERON_0000966	Uberon Ontology	
1295	Elp2	Elp2	MGI:1889642	elongator acetyltransferase complex subunit 2	ENSMUSG00000024271	58523	Mouse	Gene	29044990	Mus musculus	C57/BL6N		0.19	Retina	Eyes of an intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation	48	Genomics	RNA-seq	Up	retina	UBERON_0000966	Uberon Ontology	
